date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:45	189362/189362	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Apr%202026%2022:10:44%20GMT	https://kayara-lua.my.canva.site/	F:/Documentos/repo/kayara-lua/kayara-lua/kayara-lua.my.canva.site/index.html	(from )
19:10:45	387/387	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Apr%202026%2022:10:44%20GMT	https://kayara-lua.my.canva.site/robots.txt		(from )
19:10:45	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Apr%202026%2022:10:44%20GMT	http://kayara-lua.my.canva.site/_assets/27f844cca8df4a6a.ltr.css	F:/Documentos/repo/kayara-lua/kayara-lua/kayara-lua.my.canva.site/_assets/27f844cca8df4a6a.ltr.0.delayed	(from https://kayara-lua.my.canva.site/)
19:10:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Apr%202026%2022:10:45%20GMT	http://kayara-lua.my.canva.site/_assets/static_font_4.ltr.css	F:/Documentos/repo/kayara-lua/kayara-lua/kayara-lua.my.canva.site/_assets/static_font_4.ltr.css	(from https://kayara-lua.my.canva.site/)
19:10:46	159761/159761	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Apr%202026%2022:10:45%20GMT	https://kayara-lua.my.canva.site/_assets/27f844cca8df4a6a.ltr.css	F:/Documentos/repo/kayara-lua/kayara-lua/kayara-lua.my.canva.site/_assets/27f844cca8df4a6a.ltr.css	(from https://kayara-lua.my.canva.site/)
19:10:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Apr%202026%2022:10:46%20GMT	http://kayara-lua.my.canva.site/_assets/368628f07087a2c4.runtime.js	F:/Documentos/repo/kayara-lua/kayara-lua/kayara-lua.my.canva.site/_assets/368628f07087a2c4.runtime.js	(from https://kayara-lua.my.canva.site/)
19:10:47	1506/1506	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Apr%202026%2022:10:46%20GMT	https://kayara-lua.my.canva.site/_assets/static_font_4.ltr.css	F:/Documentos/repo/kayara-lua/kayara-lua/kayara-lua.my.canva.site/_assets/static_font_4.ltr.css	(from https://kayara-lua.my.canva.site/)
19:10:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Apr%202026%2022:10:47%20GMT	http://kayara-lua.my.canva.site/_assets/fb765918bdc2d19b.s4le6a.vendor.js	F:/Documentos/repo/kayara-lua/kayara-lua/kayara-lua.my.canva.site/_assets/fb765918bdc2d19b.s4le6a.vendor.js	(from https://kayara-lua.my.canva.site/)
19:10:47	46802/46802	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2021%20Apr%202026%2022:10:47%20GMT	https://kayara-lua.my.canva.site/_assets/368628f07087a2c4.runtime.js	F:/Documentos/repo/kayara-lua/kayara-lua/kayara-lua.my.canva.site/_assets/368628f07087a2c4.runtime.js	(from https://kayara-lua.my.canva.site/)
19:10:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Apr%202026%2022:10:47%20GMT	http://kayara-lua.my.canva.site/_assets/0fb5f701f46ae649.vendor.js	F:/Documentos/repo/kayara-lua/kayara-lua/kayara-lua.my.canva.site/_assets/0fb5f701f46ae649.vendor.js	(from https://kayara-lua.my.canva.site/)
19:10:48	256658/256658	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2021%20Apr%202026%2022:10:47%20GMT	https://kayara-lua.my.canva.site/_assets/fb765918bdc2d19b.s4le6a.vendor.js	F:/Documentos/repo/kayara-lua/kayara-lua/kayara-lua.my.canva.site/_assets/fb765918bdc2d19b.s4le6a.vendor.js	(from https://kayara-lua.my.canva.site/)
19:10:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Apr%202026%2022:10:49%20GMT	http://kayara-lua.my.canva.site/_assets/5c07b8fc994a5c70.strings.js	F:/Documentos/repo/kayara-lua/kayara-lua/kayara-lua.my.canva.site/_assets/5c07b8fc994a5c70.strings.js	(from https://kayara-lua.my.canva.site/)
19:10:50	258817/258817	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2021%20Apr%202026%2022:10:48%20GMT	https://kayara-lua.my.canva.site/_assets/0fb5f701f46ae649.vendor.js	F:/Documentos/repo/kayara-lua/kayara-lua/kayara-lua.my.canva.site/_assets/0fb5f701f46ae649.vendor.js	(from https://kayara-lua.my.canva.site/)
19:10:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Apr%202026%2022:10:50%20GMT	http://kayara-lua.my.canva.site/_assets/84fe926d52a69d68.pt-BR.js	F:/Documentos/repo/kayara-lua/kayara-lua/kayara-lua.my.canva.site/_assets/84fe926d52a69d68.pt-BR.js	(from https://kayara-lua.my.canva.site/)
19:10:52	19641/19641	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2021%20Apr%202026%2022:10:50%20GMT	https://kayara-lua.my.canva.site/_assets/5c07b8fc994a5c70.strings.js	F:/Documentos/repo/kayara-lua/kayara-lua/kayara-lua.my.canva.site/_assets/5c07b8fc994a5c70.strings.js	(from https://kayara-lua.my.canva.site/)
19:10:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Apr%202026%2022:10:52%20GMT	http://kayara-lua.my.canva.site/_assets/150fbd701afd8596.js	F:/Documentos/repo/kayara-lua/kayara-lua/kayara-lua.my.canva.site/_assets/150fbd701afd8596.js	(from https://kayara-lua.my.canva.site/)
19:10:52	561/561	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2021%20Apr%202026%2022:10:52%20GMT	https://kayara-lua.my.canva.site/_assets/84fe926d52a69d68.pt-BR.js	F:/Documentos/repo/kayara-lua/kayara-lua/kayara-lua.my.canva.site/_assets/84fe926d52a69d68.pt-BR.js	(from https://kayara-lua.my.canva.site/)
19:10:53	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Apr%202026%2022:10:52%20GMT	http://kayara-lua.my.canva.site/_assets/images/2d0b56e7e51cf11036ad8734bdb67e2d.png	F:/Documentos/repo/kayara-lua/kayara-lua/kayara-lua.my.canva.site/_assets/images/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://kayara-lua.my.canva.site/)
